"New Haven","West Haven Police",130,,112,,86,,,62,,55,,,54021,,21,,7,,6,,13,,,,,,,18,122,106,16,"New Haven","West Haven Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DELAWARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DELAWARE",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Castle","New Castle County Police",303,,273,,90,,,198,,73,,,441946,,6,,15,,15,,15,,,,,,,30,264,238,26,"New Castle","New Castle County Police"
"New Castle","Wilmington Police",322,,270,,84,,,141,,52,,,71529,,38,,(6),,4,,(38),,,,,,,52,343,259,84,"New Castle","Wilmington Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DISTRICT OF COLUMBIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DISTRICT OF COLUMBIA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, D.C.","Washington Metropolitan Police",4907,,4271,,87,,,2800,,66,,,606900,,70,,(7),,(5),,(16),,,,,,,636,5259,4506,753,"Washington, D.C.","Washington Metropolitan Police"
"Washington, D.C.","Metro Transit Police",377,,283,,75,,,145,,51,,,"              -",,"         -",,6,,8,,2,,,,,,,94,355,263,92,"Washington, D.C.","Metro Transit Police"
"Washington, D.C.","Metropolitan Airports Authority",176,,148,,84,,,102,,69,,,"              -",,"         -",,(3),,(6),,12,,,,,,,28,182,157,25,"Washington, D.C.","Metropolitan Airports Authority"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLORIDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLORIDA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alachua","Alachua County Sheriff",295,,178,,60,,,97,,54,,,181596,,10,,(1),,(7),,10,,,,,,,117,298,192,106,"Alachua","Alachua County Sheriff"
"Alachua","Gainesville Police",313,,205,,65,,,149,,73,,,84770,,24,,3,,1,,6,,,,,,,108,304,202,102,"Alachua","Gainesville Police"
"Bay","Bay County Sheriff",162,,120,,74,,,69,,57,,,126994,,9,,0,,5,,(13),,,,,,,42,162,114,48,"Bay","Bay County Sheriff"
"Brevard","Brevard County Sheriff",667,,436,,65,,,219,,50,,,398978,,11,,5,,(2),,24,,,,,,,231,634,447,187,"Brevard","Brevard County Sheriff"
"Brevard","Melbourne Police",179,,136,,76,,,"      ---",,"      ---",,,59646,,23,,4,,9,,(9),,,,,,,43,172,125,47,"Brevard","Melbourne Police"
"Broward","Broward County Sheriff",2992,,1990,,67,,,681,,34,,,1255488,,16,,6,,9,,(0),,,,,,,1002,2836,1830,1006,"Broward","Broward County Sheriff"
"Broward","Coral Springs Police",205,,138,,67,,,88,,64,,,79443,,17,,(8),,(10),,(3),,,,,,,67,222,153,69,"Broward","Coral Springs Police"
"Broward","Davie Police",137,,104,,76,,,68,,65,,,47217,,22,,(6),,(4),,(11),,,,,,,33,145,108,37,"Broward","Davie Police"
"Broward","Fort Lauderdale Police",732,,465,,64,,,282,,61,,,149377,,31,,(3),,(2),,(5),,,,,,,267,754,474,280,"Broward","Fort Lauderdale Police"
"Broward","Hollywood Police",522,,353,,68,,,173,,49,,,121697,,29,,16,,24,,2,,,,,,,169,451,285,166,"Broward","Hollywood Police"
"Broward","Pembroke Pines Police",173,,138,,80,,,73,,53,,,65452,,21,,4,,5,,(3),,,,,,,35,167,131,36,"Broward","Pembroke Pines Police"
"Broward","Plantation Police",228,,148,,65,,,75,,51,,,66692,,22,,5,,12,,(7),,,,,,,80,218,132,86,"Broward","Plantation Police"
"Broward","Pompano Beach Police",349,,246,,70,,,233,,95,,,72411,,34,,(5),,(3),,(9),,,,,,,103,367,254,113,"Broward","Pompano Beach Police"
"Broward","Sunrise Police",181,,139,,77,,,108,,78,,,64407,,22,,(5),,11,,(36),,,,,,,42,191,125,66,"Broward","Sunrise Police"
"Charlotte","Charlotte County Sheriff",254,,204,,80,,,"      ---",,"      ---",,,110975,,18,,(4),,9,,(34),,,,,,,50,264,188,76,"Charlotte","Charlotte County Sheriff"
"Citrus","Citrus County Sheriff",262,,176,,67,,,68,,39,,,93515,,19,,8,,11,,2,,,,,,,86,243,159,84,"Citrus","Citrus County Sheriff"
"Clay","Clay County Sheriff",262,,149,,57,,,105,,70,,,105986,,14,,19,,17,,20,,,,,,,113,221,127,94,"Clay","Clay County Sheriff"
"Collier","Collier County Sheriff",695,,506,,73,,,191,,38,,,152099,,33,,1,,3,,(5),,,,,,,189,689,490,199,"Collier","Collier County Sheriff"
"Dade","Metro-Dade Police",3677,,2614,,71,,,944,,36,,,1937094,,13,,(0),,5,,(12),,,,,,,1063,3682,2479,1203,"Dade","Metro-Dade Police"
"Dade","Coral Gables Police",185,,137,,74,,,81,,59,,,40091,,34,,(1),,3,,(9),,,,,,,48,186,133,53,"Dade","Coral Gables Police"
"Dade","Hialeah Police",423,,306,,72,,,168,,55,,,188004,,16,,(2),,(3),,0,,,,,,,117,432,315,117,"Dade","Hialeah Police"
"Dade","Miami Police",1346,,1067,,79,,,514,,48,,,358548,,30,,(6),,(4),,(14),,,,,,,279,1436,1110,326,"Dade","Miami Police"
"Dade","Miami Beach Police",481,,334,,69,,,"      ---",,"      ---",,,92639,,36,,7,,7,,7,,,,,,,147,451,313,138,"Dade","Miami Beach Police"
"Duval ","Jacksonville Sheriff",2212,,1233,,56,,,636,,52,,,635230,,19,,6,,4,,9,,,,,,,979,2080,1181,899,"Duval ","Jacksonville Sheriff"
"Escambia","Escambia County Sheriff",443,,299,,67,,,248,,83,,,262798,,11,,12,,15,,5,,,,,,,144,397,260,137,"Escambia","Escambia County Sheriff"
"Escambia","Pensacola Police",201,,145,,72,,,59,,41,,,58165,,25,,2,,1,,6,,,,,,,56,197,144,53,"Escambia","Pensacola Police"
"Hernando","Hernando County Sheriff",205,,133,,65,,,72,,54,,,101115,,13,,16,,13,,22,,,,,,,72,177,118,59,"Hernando","Hernando County Sheriff"
"Hillsborough","Hillsborough County Sheriff",2297,,1613,,70,,,550,,34,,,834054,,19,,7,,5,,11,,,,,,,684,2149,1535,614,"Hillsborough","Hillsborough County Sheriff"
"Hillsborough","Tampa Police",1061,,788,,74,,,561,,71,,,280015,,28,,(2),,(4),,5,,,,,,,273,1083,824,259,"Hillsborough","Tampa Police"
"Indian River","Indian River County Sheriff",323,,234,,72,,,76,,32,,,90208,,26,,14,,18,,6,,,,,,,89,283,199,84,"Indian River","Indian River County Sheriff"
"Lake","Lake County Sheriff",192,,121,,63,,,72,,60,,,152104,,8,,5,,(1),,16,,,,,,,71,183,122,61,"Lake","Lake County Sheriff"
"Lee","Lee County Sheriff",702,,477,,68,,,150,,31,,,335113,,14,,8,,12,,0,,,,,,,225,650,425,225,"Lee","Lee County Sheriff"
"Lee","Cape Coral Police",166,,117,,70,,,82,,70,,,74991,,16,,10,,17,,(4),,,,,,,49,151,100,51,"Lee","Cape Coral Police"
"Lee","Fort Myers Police",191,,135,,71,,,90,,67,,,45206,,30,,2,,(1),,8,,,,,,,56,188,136,52,"Lee","Fort Myers Police"
"Leon","Leon County Sheriff",534,,415,,78,,,"      ---",,"      ---",,,192493,,22,,39,,108,,(36),,,,,,,119,385,200,185,"Leon","Leon County Sheriff"
"Leon","Tallahassee Police",447,,309,,69,,,150,,49,,,124773,,25,,7,,7,,8,,,,,,,138,416,288,128,"Leon","Tallahassee Police"
"Manatee","Manatee County Sheriff",638,,484,,76,,,152,,31,,,211707,,23,,8,,85,,(53),,,,,,,154,591,261,330,"Manatee","Manatee County Sheriff"
"Marion","Marion County Sheriff",508,,300,,59,,,121,,40,,,194833,,15,,5,,85,,(36),,,,,,,208,486,162,324,"Marion","Marion County Sheriff"
"Marion","Ocala Police",184,,120,,65,,,62,,52,,,42045,,29,,7,,1,,21,,,,,,,64,172,119,53,"Marion","Ocala Police"
"Martin","Martin County Sheriff",422,,332,,79,,,83,,25,,,100900,,33,,(1),,101,,(66),,,,,,,90,426,165,261,"Martin","Martin County Sheriff"
"Monroe","Monroe County Sheriff",422,,296,,70,,,86,,29,,,78024,,38,,58,,82,,21,,,,,,,126,267,163,104,"Monroe","Monroe County Sheriff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"      Personnel   3",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLORIDA (cont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLORIDA (cont.)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Okaloosa","Okaloosa County Sheriff",163,,124,,76,"%",,64,,52,"%",,143776,,9,,18,"%",16,"%",26,"%",,,,,,39,138,107,31,"Okaloosa","Okaloosa County Sheriff"
"Orange","Orange County Sheriff",1336,,902,,68,,,384,,43,,,677491,,13,,9,,20,,(9),,,,,,,434,1226,749,477,"Orange","Orange County Sheriff"
"Orange","Orlando Police",814,,562,,69,,,359,,64,,,164693,,34,,7,,6,,10,,,,,,,252,758,528,230,"Orange","Orlando Police"
"Osceola","Osceola County Sheriff",372,,202,,54,,,78,,39,,,107728,,19,,11,,28,,(4),,,,,,,170,335,158,177,"Osceola","Osceola County Sheriff"
"Palm Beach","Palm Beach County Sheriff",2255,,1610,,71,,,457,,28,,,863518,,19,,17,,15,,23,,,,,,,645,1927,1402,525,"Palm Beach","Palm Beach County Sheriff"
"Palm Beach","Boca Raton Police",207,,127,,61,,,74,,58,,,61492,,21,,2,,2,,1,,,,,,,80,203,124,79,"Palm Beach","Boca Raton Police"
"Palm Beach","Boynton Beach Police",171,,123,,72,,,71,,58,,,46194,,27,,18,,(1),,129,,,,,,,48,145,124,21,"Palm Beach","Boynton Beach Police"
"Palm Beach","Delray Beach Police",202,,132,,65,,,78,,59,,,47181,,28,,4,,2,,8,,,,,,,70,195,130,65,"Palm Beach","Delray Beach Police"
"Palm Beach","West Palm Beach Police",327,,226,,69,,,120,,53,,,67643,,33,,2,,3,,(2),,,,,,,101,322,219,103,"Palm Beach","West Palm Beach Police"
"Pasco","Pasco County Sheriff",697,,491,,70,,,165,,34,,,281131,,17,,16,,66,,(33),,,,,,,206,603,296,307,"Pasco","Pasco County Sheriff"
"Pinellas","Pinellas County Sheriff",1746,,1297,,74,,,480,,37,,,851659,,15,,8,,96,,(53),,,,,,,449,1619,661,958,"Pinellas","Pinellas County Sheriff"
"Pinellas","Clearwater Police",343,,233,,68,,,150,,64,,,98784,,24,,9,,4,,22,,,,,,,110,314,224,90,"Pinellas","Clearwater Police"
"Pinellas","Largo Police",166,,114,,69,,,61,,54,,,65674,,17,,1,,(1),,4,,,,,,,52,165,115,50,"Pinellas","Largo Police"
"Pinellas","St. Petersburg Police",716,,515,,72,,,453,,88,,,238629,,22,,2,,9,,(13),,,,,,,201,704,472,232,"Pinellas","St. Petersburg Police"
"Polk","Polk County Sheriff",935,,359,,38,,,203,,57,,,405382,,9,,2,,0,,3,,,,,,,576,918,358,560,"Polk","Polk County Sheriff"
"Polk","Lakeland Police",306,,227,,74,,,106,,47,,,70576,,32,,13,,15,,7,,,,,,,79,271,197,74,"Polk","Lakeland Police"
"St. John","St. John County Sheriff",323,,227,,70,,,99,,44,,,83829,,27,,17,,19,,13,,,,,,,96,276,191,85,"St. John","St. John County Sheriff"
"St. Lucie","St. Lucie County Sheriff",510,,362,,71,,,159,,44,,,150171,,24,,25,,19,,44,,,,,,,148,407,304,103,"St. Lucie","St. Lucie County Sheriff"
"St. Lucie","Fort Pierce Police",132,,108,,82,,,70,,65,,,36830,,29,,1,,5,,(14),,,,,,,24,131,103,28,"St. Lucie","Fort Pierce Police"
"Sarasota","Sarasota County Sheriff",634,,306,,48,,,170,,56,,,277776,,11,,3,,(20),,41,,,,,,,328,617,384,233,"Sarasota","Sarasota County Sheriff"
"Sarasota","Sarasota Police",273,,190,,70,,,103,,54,,,50961,,37,,(10),,(1),,(25),,,,,,,83,302,191,111,"Sarasota","Sarasota Police"
"Seminole","Seminole County Sheriff",548,,377,,69,,,207,,55,,,287529,,13,,15,,102,,(41),,,,,,,171,476,187,289,"Seminole","Seminole County Sheriff"
"Volusia","Volusia County Sheriff",438,,289,,66,,,138,,48,,,370712,,8,,17,,12,,31,,,,,,,149,373,259,114,"Volusia","Volusia County Sheriff"
"Volusia","Daytona Beach Police",298,,218,,73,,,143,,66,,,61921,,35,,10,,8,,14,,,,,,,80,271,201,70,"Volusia","Daytona Beach Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEORGIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GEORGIA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bibb","Bibb County Sheriff",221,,195,,88,,,57,,29,,,149967,,13,,19,,22,,4,,,,,,,26,185,160,25,"Bibb","Bibb County Sheriff"
"Bibb","Macon Police",337,,284,,84,,,181,,64,,,106612,,27,,6,,9,,(7),,,,,,,53,317,260,57,"Bibb","Macon Police"
"Chatham","Chatham County Police",169,,127,,75,,,109,,86,,,216935,,6,,6,,9,,0,,,,,,,42,159,117,42,"Chatham","Chatham County Police"
"Chatham","Savannah Police",466,,374,,80,,,230,,61,,,137560,,27,,13,,15,,5,,,,,,,92,414,326,88,"Chatham","Savannah Police"
"Clarke","Athens-Clarke County Police",225,,177,,79,,,127,,72,,,45734,,39,,(3),"*",(2),"*",(8),"*",,,,,,48,232,180,52,"Clarke","Athens-Clarke County Police"
"Clayton","Clayton County Police",217,,194,,89,,,123,,63,,,182052,,11,,0,,(2),,28,,,,,,,23,216,198,18,"Clayton","Clayton County Police"
"Cobb","Cobb County Police",563,,415,,74,,,298,,72,,,447745,,9,,20,,25,,7,,,,,,,148,470,332,138,"Cobb","Cobb County Police"
"Cobb","Cobb County Sheriff",359,,277,,77,,,50,,18,,,447745,,6,,7,,3,,21,,,,,,,82,337,269,68,"Cobb","Cobb County Sheriff"
"Cobb","Marietta Police",142,,119,,84,,,68,,57,,,44129,,27,,(2),,(1),,(8),,,,,,,23,145,120,25,"Cobb","Marietta Police"
"De Kalb","De Kalb County Police",721,,672,,93,,,335,,50,,,545837,,12,,(11),,6,,(72),,,,,,,49,808,633,175,"De Kalb","De Kalb County Police"
"Dougherty","Albany Police",220,,194,,88,,,120,,62,,,78122,,25,,2,,3,,0,,,,,,,26,215,189,26,"Dougherty","Albany Police"
"Fulton","Fulton County Police",328,,221,,67,,,92,,42,,,648951,,3,,(1),,7,,(14),,,,,,,107,332,207,125,"Fulton","Fulton County Police"
"Fulton","Atlanta Police",2143,,1602,,75,,,1254,,78,,,394017,,41,,12,,3,,52,,,,,,,541,1916,1560,356,"Fulton","Atlanta Police"
"Gwinnett","Gwinnett County Police",455,,306,,67,,,209,,68,,,352910,,9,,(11),,(6),,(19),,,,,,,149,510,326,184,"Gwinnett","Gwinnett County Police"
"Muscogee","Columbus Police",471,,372,,79,,,187,,50,,,178681,,21,,0,,1,,(3),,,,,,,99,471,369,102,"Muscogee","Columbus Police"
"Richmond","Richmond County Sheriff",360,,334,,93,,,"      ---",,"      ---",,,189719,,18,,17,,14,,73,,,,,,,26,308,293,15,"Richmond","Richmond County Sheriff"
"Richmond","Augusta Police",208,,178,,86,,,115,,65,,,44639,,40,,14,,20,,(12),,,,,,,30,182,148,34,"Richmond","Augusta Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAWAII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HAWAII",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii","Hawaii County Police",478,,349,,73,,,241,,69,,,120317,,29,,20,,13,,47,,,,,,,129,397,309,88,"Hawaii","Hawaii County Police"
"Honolulu","Honolulu Police",2381,,1925,,81,,,1163,,60,,,836231,,23,,7,,8,,4,,,,,,,456,2220,1781,439,"Honolulu","Honolulu Police"
"Kauai","Kauai County Police",166,,137,,83,,,90,,66,,,51177,,27,,(2),,(2),,(3),,,,,,,29,170,140,30,"Kauai","Kauai County Police"
"Maui","Maui County Police",382,,289,,76,,,172,,60,,,100374,,29,,20,,17,,33,,,,,,,93,318,248,70,"Maui","Maui County Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDAHO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDAHO",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ada","Boise Police",206,,177,,86,,,109,,62,,,125738,,14,,8,,12,,(9),,,,,,,29,190,158,32,"Ada","Boise Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ILLINOIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ILLINOIS",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook","Cook County Police",606,,517,,85,,,130,,25,,,5105067,,1,,(4),,5,,(36),,,,,,,89,634,494,140,"Cook","Cook County Police"
"Cook ","Cook County Forest Preserve ",162,,149,,92,,,114,,77,,,"              -",,"         -",,5,,3,,30,,,,,,,13,155,145,10,"Cook ","Cook County Forest Preserve "
"Cook","Arlington Heights Police",138,,103,,75,,,55,,53,,,75460,,14,,5,,5,,6,,,,,,,35,131,98,33,"Cook","Arlington Heights Police"
"Cook","Chicago Police",15732,,12368,,79,,,8169,,66,,,2783726,,44,,6,,4,,10,,,,,,,3364,14909,11837,3072,"Cook","Chicago Police"
"Cook","Evanston Police",208,,154,,74,,,97,,63,,,73233,,21,,(1),,(5),,13,,,,,,,54,210,162,48,"Cook","Evanston Police"
"Cook","Oak Lawn Police",141,,109,,77,,,66,,61,,,56182,,19,,27,,5,,357,,,,,,,32,111,104,7,"Cook","Oak Lawn Police"
"Cook","Oak Park Police",158,,115,,73,,,108,,94,,,53648,,21,,4,,2,,10,,,,,,,43,152,113,39,"Cook","Oak Park Police"
"Cook","Schaumburg Police",194,,137,,71,,,60,,44,,,68586,,20,,8,,4,,19,,,,,,,57,180,132,48,"Cook","Schaumburg Police"
"Cook","Skokie Police",133,,102,,77,,,78,,76,,,59432,,17,,(2),,(3),,0,,,,,,,31,136,105,31,"Cook","Skokie Police"
"Du Page","Du Page County Sheriff",420,,339,,81,,,80,,24,,,781666,,4,,21,,40,,(23),,,,,,,81,347,242,105,"Du Page","Du Page County Sheriff"
"Du Page ","Naperville Police",192,,117,,61,,,74,,63,,,85351,,14,,25,,4,,83,,,,,,,75,154,113,41,"Du Page ","Naperville Police"
"Kane","Aurora Police",268,,210,,78,,,120,,57,,,99581,,21,,13,,9,,29,,,,,,,58,238,193,45,"Kane","Aurora Police"
"Kane","Elgin Police",173,,128,,74,,,76,,59,,,77010,,17,,30,,24,,50,,,,,,,45,133,103,30,"Kane","Elgin Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4   Law Enforcement Management and Administrative Statistics, 1993",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ILLINOIS (cont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ILLINOIS (cont.)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lake ","Lake County Sheriff",377,,175,,46,"%",,78,,45,"%",,516418,,3,,6,"%",(6),"%",19,"%",,,,,,202,356,186,170,"Lake ","Lake County Sheriff"
"Lake","Waukegan Police",137,,137,,100,,,127,,93,,,69392,,20,,(19),,14,,(100),,,,,,,0,170,120,50,"Lake","Waukegan Police"
"McHenry","McHenry County Sheriff",225,,193,,86,,,51,,26,,,183241,,11,,44,,56,,0,,,,,,,32,156,124,32,"McHenry","McHenry County Sheriff"
"Macon","Decatur Police",172,,140,,81,,,86,,61,,,83885,,17,,18,,0,,433,,,,,,,32,146,140,6,"Macon","Decatur Police"
"Peoria","Peoria Police",267,,218,,82,,,207,,95,,,113504,,19,,(5),,6,,(36),,,,,,,49,282,205,77,"Peoria","Peoria Police"
"Sangamon","Springfield Police",262,,211,,81,,,193,,91,,,105227,,20,,(0),,6,,(19),,,,,,,51,263,200,63,"Sangamon","Springfield Police"
"Will","Will County Sheriff",397,,301,,76,,,85,,28,,,357313,,8,,(18),,(9),,(38),,,,,,,96,486,332,154,"Will","Will County Sheriff"
"Will","Joliet Police",245,,198,,81,,,120,,61,,,76836,,26,,12,,13,,12,,,,,,,47,218,176,42,"Will","Joliet Police"
"Winnebago","Winnebago County Sheriff",205,,103,,50,,,70,,68,,,252913,,4,,(4),,(6),,(2),,,,,,,102,214,110,104,"Winnebago","Winnebago County Sheriff"
"Winnebago","Rockford Police",283,,248,,88,,,178,,72,,,139426,,18,,(13),,0,,(56),,,,,,,35,327,248,79,"Winnebago","Rockford Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INDIANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"INDIANA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allen","Fort Wayne Police",379,,328,,87,,,176,,54,,,173072,,19,,5,,7,,(4),,,,,,,51,360,307,53,"Allen","Fort Wayne Police"
"Delaware","Muncie Police",128,,120,,94,,,100,,83,,,71035,,17,,(4),,5,,(60),,,,,,,8,134,114,20,"Delaware","Muncie Police"
"Lake","Lake County Sheriff",357,,170,,48,,,102,,60,,,475594,,4,,5,,0,,10,,,,,,,187,340,170,170,"Lake","Lake County Sheriff"
"Lake","East Chicago Police",137,,104,,76,,,93,,89,,,33892,,31,,3,,2,,6,,,,,,,33,133,102,31,"Lake","East Chicago Police"
"Lake","Gary Police",333,,223,,67,,,120,,54,,,116646,,19,,8,,7,,10,,,,,,,110,308,208,100,"Lake","Gary Police"
"Lake","Hammond Police",209,,185,,89,,,75,,41,,,84236,,22,,(6),,1,,(38),,,,,,,24,223,184,39,"Lake","Hammond Police"
"Madison","Anderson Police",163,,126,,77,,,68,,54,,,59459,,21,,0,,(3),,12,,,,,,,37,163,130,33,"Madison","Anderson Police"
"Marion","Marion County Sheriff",738,,422,,57,,,"      ---",,"      ---",,,731327,,6,,(2),,(2),,(1),,,,,,,316,750,430,320,"Marion","Marion County Sheriff"
"Marion","Indianapolis Police",1322,,956,,72,,,443,,46,,,731327,,13,,(3),,(5),,3,,,,,,,366,1363,1006,357,"Marion","Indianapolis Police"
"St. Joseph","South Bend Police",334,,238,,71,,,142,,60,,,105511,,23,,6,,5,,9,,,,,,,96,314,226,88,"St. Joseph","South Bend Police"
"Vanderburgh","Evansville Police",268,,243,,91,,,143,,59,,,126272,,19,,(4),,0,,(32),,,,,,,25,280,243,37,"Vanderburgh","Evansville Police"
"Vigo","Terre Haute Police",128,,113,,88,,,72,,64,,,57483,,20,,(28),,(3),,(75),,,,,,,15,177,117,60,"Vigo","Terre Haute Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IOWA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IOWA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Hawk","Waterloo Police",133,,114,,86,,,70,,61,,,66467,,17,,(4),,(1),,(21),,,,,,,19,139,115,24,"Black Hawk","Waterloo Police"
"Linn","Cedar Rapids Police",213,,169,,79,,,105,,62,,,108751,,16,,10,,12,,5,,,,,,,44,193,151,42,"Linn","Cedar Rapids Police"
"Polk","Des Moines Police",481,,358,,74,,,165,,46,,,193187,,19,,6,,3,,16,,,,,,,123,455,349,106,"Polk","Des Moines Police"
"Scott","Davenport Police",176,,143,,81,,,88,,62,,,95333,,15,,(1),,1,,(6),,,,,,,33,177,142,35,"Scott","Davenport Police"
"Woodbury","Sioux City Police",139,,112,,81,,,80,,71,,,80505,,14,,4,,1,,17,,,,,,,27,134,111,23,"Woodbury","Sioux City Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KANSAS",,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,"KANSAS",
,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,
"Douglas","Lawrence Police",141,,104,,74,,,75,,72,,,65608,,16,,38,,42,,28,,,,,,,37,102,73,29,"Douglas","Lawrence Police"
"Johnson","Overland Park Police",192,,148,,77,,,87,,59,,,111790,,13,,15,,13,,22,,,,,,,44,167,131,36,"Johnson","Overland Park Police"
"Sedgwick","Wichita Police",624,,467,,75,,,264,,57,,,304011,,15,,8,,10,,1,,,,,,,157,578,423,155,"Sedgwick","Wichita Police"
"Shawnee","Topeka Police",347,,248,,71,,,158,,64,,,119883,,21,,(1),,(3),,4,,,,,,,99,351,256,95,"Shawnee","Topeka Police"
"Wyandotte","Kansas City Police",446,,330,,74,,,196,,59,,,149767,,22,,5,,11,,(8),,,,,,,116,423,297,126,"Wyandotte","Kansas City Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KENTUCKY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KENTUCKY",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fayette","Lexington-Fayette County Police",529,,388,,73,,,"      ---",,"      ---",,,225366,,17,,5,,3,,8,,,,,,,141,506,376,130,"Fayette","Lexington-Fayette County Police"
"Jefferson","Jefferson County Police",536,,402,,75,,,234,,58,,,664937,,6,,1,,0,,2,,,,,,,134,532,401,131,"Jefferson","Jefferson County Police"
"Jefferson","Louisville Police",805,,630,,78,,,334,,53,,,269063,,23,,(1),,0,,(4),,,,,,,175,812,630,182,"Jefferson","Louisville Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
