,,,,,,,,,,,,,,,,
"LEMA938.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,
"Table 8a.  Starting salaries, collective bargaining, types of special pay, and officer membership organizations",,,,,,,,,,,,,,,,
"in local law enforcement agencies, 1993",,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Agencies authorizing ",,,,
"De Kalb","De Kalb County Police",$49524,,$23796,,"-",,"-",,"H,M",,"X",,"X",,"X"
"Dougherty","Albany Police",$40560,,$17950,,"-",,"-",,"M",,"-",,"-",,"X"
"Fulton","Fulton County Police",$66984,,$22216,,"-",,"-",,"-",,"-",,"-",,"-"
"Fulton","Atlanta Police",$61524,,$23580,,"-",,"-",,"H,E,M",,"-",,"X",,"X"
"Gwinnett","Gwinnett County Police",$55493,,$21979,,"-",,"-",,"-",,"-",,"X",,"X"
"Muscogee","Columbus Police",$54600,,$17097,,"-",,"-",,"E,M",,"-",,"X",,"X"
"Richmond","Richmond County Sheriff",$59000,,$18090,,"-",,"-",,"M",,"-",,"-",,"-"
"Richmond","Augusta Police",$47600,,$17288,,"-",,"-",,"E",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"HAWAII",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Hawaii","Hawaii County Police",$66384,,$27240,,"X",,"X",,"H,S",,"-",,"-",,"X"
"Honolulu","Honolulu Police",$83700,,$29424,,"X",,"X",,"H,S",,"-",,"-",,"X"
"Kauai","Kauai County Police",$66384,,$29424,,"X",,"X",,"H,S",,"-",,"-",,"-"
"Maui","Maui County Police",$72910,,$27240,,"X",,"X",,"H,S",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"IDAHO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Ada","Boise Police",$63300,,"           ---",,"X",,"-",,"H,S,E,M",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"ILLINOIS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Cook","Cook County Police",$81119,,$30840,,"X",,"X",,"H",,"-",,"X",,"-"
"Cook ","Cook County Forest Preserve ",$48000,,$25000,,"X",,"X",,"-",,"-",,"X",,"-"
"Cook","Arlington Heights Police",$70280,,$27377,,"X",,"-",,"-",,"-",,"X",,"-"
"Cook","Chicago Police",$107544,,$32250,,"X",,"X",,"-",,"-",,"X",,"-"
"Cook","Evanston Police",$56255,,$32652,,"X",,"X",,"-",,"-",,"-",,"X"
"Cook","Oak Lawn Police",$70044,,$28452,,"X",,"X",,"E",,"-",,"X",,"X"
"Cook","Oak Park Police",$73000,,$29797,,"X",,"X",,"E",,"-",,"X",,"-"
"Cook","Schaumburg Police",$79156,,$27787,,"X",,"-",,"E",,"-",,"X",,"-"
"Cook","Skokie Police",$67750,,$32045,,"X",,"-",,"M",,"-",,"X",,"-"
"Du Page","Du Page County Sheriff",$75000,,$26000,,"X",,"X",,"M",,"-",,"X",,"-"
"Du Page ","Naperville Police",$51251,,$30156,,"X",,"X",,"M",,"-",,"X",,"-"
"Kane","Aurora Police",$54496,,$32802,,"X",,"X",,"S",,"X",,"-",,"X"
"Kane","Elgin Police",$57336,,$31008,,"X",,"-",,"-",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"88   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"ILLINOIS (cont.)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Lake ","Lake County Sheriff",$76800,,$27568,,"X",,"X",,"-",,"-",,"X",,"X"
"Lake","Waukegan Police",$65000,,$27500,,"X",,"X",,"-",,"-",,"X",,"X"
"McHenry","McHenry County Sheriff",$62000,,$24315,,"X",,"X",,"E",,"X",,"X",,"-"
"Macon","Decatur Police",$52000,,$28500,,"X",,"X",,"S",,"X",,"X",,"-"
"Peoria","Peoria Police",$68000,,$27484,,"X",,"X",,"S,E,M",,"-",,"X",,"X"
"Sangamon","Springfield Police",$65866,,$26613,,"X",,"X",,"S",,"-",,"X",,"X"
"Will","Will County Sheriff",$59000,,$27706,,"X",,"X",,"-",,"X",,"X",,"X"
"Will","Joliet Police",$54591,,$28740,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Winnebago","Winnebago County Sheriff",$65000,,$25712,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Winnebago","Rockford Police",$54857,,$25081,,"X",,"-",,"-",,"X",,"X",,"X"
,,,,,,,,,,,,,,,,
"INDIANA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Allen","Fort Wayne Police",$47673,,$27231,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Delaware","Muncie Police",$39750,,$24805,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Lake","Lake County Sheriff",$40582,,$23763,,"-",,"-",,"H,E,M",,"-",,"-",,"-"
"Lake","East Chicago Police",$48389,,$24289,,"X",,"-",,"E,M",,"-",,"X",,"-"
"Lake","Gary Police",$37752,,$21236,,"-",,"-",,"-",,"-",,"X",,"-"
"Lake","Hammond Police",$40500,,$22675,,"-",,"-",,"S,E",,"-",,"X",,"-"
"Madison","Anderson Police",$41701,,$25693,,"X",,"-",,"E,M",,"-",,"X",,"-"
"Marion","Marion County Sheriff",$59000,,$21841,,"X",,"-",,"S,E,M",,"X",,"-",,"-"
"Marion","Indianapolis Police",$65000,,$33059,,"-",,"-",,"H,S,E,M",,"-",,"X",,"-"
"St. Joseph","South Bend Police",$42375,,$21300,,"-",,"-",,"H,S",,"-",,"X",,"-"
"Vanderburgh","Evansville Police",$48407,,$25985,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Vigo","Terre Haute Police",$33710,,$18283,,"X",,"-",,"M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"IOWA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Black Hawk","Waterloo Police",$48944,,$24252,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Linn","Cedar Rapids Police",$50589,,$24403,,"X",,"X",,"H,S,E",,"X",,"X",,"X"
"Polk","Des Moines Police",$61910,,$29531,,"X",,"X",,"E",,"-",,"X",,"-"
"Scott","Davenport Police",$52000,,$27165,,"X",,"X",,"S,E",,"X",,"X",,"X"
"Woodbury","Sioux City Police",$65000,,$25285,,"X",,"X",,"S,E",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"KANSAS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Douglas","Lawrence Police",$50295,,$24232,,"X",,"X",,"S,E,M",,"-",,"X",,"X"
"Johnson","Overland Park Police",$55584,,$26400,,"-",,"-",,"S,E,M",,"-",,"-",,"-"
"Sedgwick","Wichita Police",$58748,,$22670,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Shawnee","Topeka Police",$44699,,$24528,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"Wyandotte","Kansas City Police",$73583,,$25104,,"X",,"X",,"E",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"KENTUCKY",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Fayette","Lexington-Fayette County Police",$43000,,$19000,,"-",,"-",,"E",,"-",,"X",,"-"
"Jefferson","Jefferson County Police",$69205,,$20770,,"X",,"X",,"H,M",,"-",,"X",,"-"
"Jefferson","Louisville Police",$67769,,$19780,,"X",,"X",,"H",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"LOUISIANA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bossier","Bossier Police",$50450,,$18000,,"-",,"-",,"E",,"-",,"X",,"-"
"Caddo","Caddo Parish Sheriff",$65089,,$16835,,"-",,"-",,"H,E",,"-",,"-",,"-"
"Caddo","Shreveport Police",$68000,,$20532,,"-",,"-",,"-",,"X",,"X",,"-"
"Calcasieu","Calcasieu Parish Sheriff",$60000,,$12600,,"-",,"-",,"S",,"-",,"-",,"-"
"Calcasieu","Lake Charles Police",$45000,,$14160,,"-",,"-",,"-",,"-",,"X",,"X"
"E. Baton Rouge","E. Baton Rouge Parish Sheriff",$59173,,$15684,,"-",,"-",,"-",,"-",,"-",,"-"
"E. Baton Rouge","Baton Rouge Police",$41815,,$18640,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"Jefferson","Jefferson Parish Sheriff",$84000,,$16800,,"-",,"-",,"-",,"-",,"X",,"X"
"Jefferson","Kenner Police",$48000,,$18000,,"-",,"-",,"-",,"-",,"X",,"X"
"Lafayette","Lafayette Parish Sheriff",$54996,,$14400,,"-",,"-",,"-",,"-",,"-",,"-"
"Lafayette","Lafayette Police",$50400,,$18024,,"X",,"-",,"-",,"-",,"X",,"-"
"Lafourche","Lafourche Parish Sheriff",$50000,,$13500,,"-",,"-",,"-",,"-",,"-",,"X"
"Livingston","Livingston Parish Sheriff",$50000,,$10200,,"-",,"-",,"-",,"-",,"-",,"-"
"Orleans","New Orleans Police",$54000,,$17000,,"-",,"-",,"H,S",,"-",,"X",,"-"
"Ouachita","Ouachita Parish Sheriff",$54996,,$15420,,"-",,"-",,"E",,"-",,"-",,"-"
"Ouachita","Monroe Police",$36338,,$13363,,"X",,"X",,"E",,"-",,"X",,"-"
"Rapides","Rapides Parish Sheriff",$54999,,$16800,,"-",,"-",,"-",,"-",,"-",,"X"
"Rapides","Alexandria Police",$48991,,$16200,,"X",,"X",,"S",,"-",,"X",,"X"
"St. Charles","St. Charles Parish Sheriff",$50000,,$15600,,"-",,"-",,"-",,"-",,"X",,"-"
"St. John the Baptist","St. John the Baptist Sheriff",$65000,,$17448,,"-",,"-",,"E,M",,"-",,"-",,"-"
"St. Tammany","St. Tammany Parish Sheriff",$70000,,$18000,,"-",,"-",,"H",,"-",,"-",,"X"
"Tangipahoa","Tangipahoa Parish Sheriff",$49992,,$13200,,"-",,"-",,"-",,"-",,"-",,"-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"            Expenditures and pay   89",,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"MAINE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Cumberland","Portland Police",$51572,,$19499,,"X",,"X",,"S,E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"MARYLAND",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Anne Arundel","Anne Arundel County Police",$56942,,$25208,,"X",,"X",,"S,M",,"-",,"X",,"-"
"Anne Arundel","Annapolis Police",$61020,,$25480,,"X",,"X",,"S,M",,"X",,"X",,"-"
"Baltimore(city)","Baltimore Police",$91400,,$23000,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Baltimore(city)","Baltimore School Police",$45000,,$22000,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Baltimore","Baltimore County Police",$83449,,$23928,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Charles","Charles County Sheriff",$57530,,$24555,,"-",,"-",,"S,E,M",,"-",,"X",,"-"
"Harford","Harford County Sheriff",$56000,,$23186,,"-",,"-",,"S",,"-",,"X",,"-"
"Howard","Howard County Police",$59935,,$25255,,"X",,"-",,"S,M",,"-",,"X",,"-"
"Montgomery","Montgomery County Police",$67072,,$26605,,"X",,"X",,"S,E,M",,"-",,"X",,"X"
"Prince George's ","Prince George's County Police",$70596,,$27454,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Prince George's ","Prince George's County Sheriff",$78000,,$24527,,"X",,"X",,"S",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"MASSACHUSETTS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bristol","New Bedford Police",$58809,,$20805,,"X",,"-",,"S,E",,"-",,"X",,"X"
"Essex","Lawrence Police",$60000,,$25000,,"X",,"-",,"S,E",,"-",,"X",,"-"
"Essex","Lynn Police",$60661,,$24013,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Hampden","Chicopee Police",$60000,,$25000,,"X",,"X",,"S,E",,"-",,"-",,"-"
"Hampden","Holyoke Police",$65000,,$24000,,"X",,"X",,"E",,"-",,"X",,"X"
"Hampden","Springfield Police",$80805,,$27935,,"X",,"X",,"E",,"-",,"X",,"-"
"Middlesex","Cambridge Police",$90000,,$21000,,"X",,"X",,"S,E,M",,"X",,"X",,"X"
"Middlesex","Lowell Police",$80000,,$23000,,"X",,"X",,"E",,"-",,"X",,"-"
"Middlesex","Newton Police",$70000,,$27800,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Middlesex","Somerville Police","           ---",,$26032,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Middlesex","Waltham Police",$63264,,$26976,,"X",,"-",,"S,E",,"X",,"X",,"X"
"Norfolk","Brookline Police",$77600,,$28924,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Norfolk","Quincy Police",$70000,,$29000,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Plymouth","Brockton Police",$64032,,$25662,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Suffolk","Boston Police",$80000,,$29815,,"X",,"X",,"S",,"-",,"X",,"-"
"Suffolk","Mass. Bay Transit Authority",$76000,,$24375,,"X",,"-",,"S,E,M",,"-",,"X",,"-"
"Worcester ","Worcester Police",$50362,,$21476,,"X",,"X",,"E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"MICHIGAN",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Calhoun","Battle Creek Police",$50387,,$26395,,"X",,"X",,"E",,"-",,"X",,"X"
"Genesee","Flint Police",$65208,,$24866,,"X",,"X",,"S",,"X",,"-",,"X"
"Ingham","Lansing Police",$67819,,$26325,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Kalamazoo","Kalamazoo Police",$56647,,$29833,,"X",,"X",,"S,E,M",,"-",,"-",,"X"
"Kent","Kent County Sheriff",$72800,,$27830,,"X",,"X",,"-",,"-",,"-",,"X"
"Kent","Grand Rapids Police",$88586,,$28102,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Macomb","Macomb County Sheriff",$72286,,$28769,,"X",,"-",,"H,S,E",,"-",,"X",,"-"
"Macomb","Sterling Heights Police",$61653,,$25331,,"X",,"X",,"S,E",,"X",,"X",,"-"
"Macomb","Warren Police",$69524,,$34568,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Oakland ","Oakland County Sheriff",$82751,,$20422,,"X",,"X",,"S,E,M",,"-",,"X",,"X"
"Oakland","Pontiac Police",$58772,,$29590,,"X",,"-",,"S",,"X",,"X",,"X"
"Oakland","Southfield Police",$55527,,$27674,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Oakland","Troy Police",$53500,,$22966,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Saginaw","Saginaw Police",$57000,,$26124,,"X",,"X",,"S,E",,"X",,"X",,"X"
"Washtenaw","Washtenaw County Sheriff",$80000,,$26328,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Washtenaw","Ann Arbor Police",$59010,,$25459,,"X",,"X",,"E",,"-",,"X",,"-"
"Wayne","Dearborn Police",$68616,,$27571,,"X",,"X",,"S",,"-",,"X",,"X"
"Wayne","Detroit Police",$76597,,$27856,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Wayne","Livonia Police",$60429,,$29141,,"X",,"X",,"E,M",,"-",,"-",,"X"
"Wayne","Taylor Police",$57800,,$27883,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"Wayne","Westland Police",$58400,,$20794,,"X",,"X",,"S",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"MINNESOTA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Hennepin","Minneapolis Police",$80366,,$27248,,"X",,"X",,"-",,"-",,"-",,"X"
"Ramsey","Ramsey County Sheriff",$80000,,$30348,,"X",,"X",,"H,S,M",,"X",,"-",,"-"
"Ramsey","St. Paul Police",$67665,,$33346,,"X",,"X",,"H,S,M",,"X",,"-",,"-"
"St. Louis ","Duluth Police",$60000,,$25000,,"X",,"X",,"S,E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"MISSISSIPPI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Hinds","Jackson Police",$53604,,$20904,,"-",,"-",,"-",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"90   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"MISSOURI",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Boone","Columbia Police",$48497,,$23327,,"-",,"-",,"S,M",,"-",,"X",,"X"
"Greene","Springfield Police",$77958,,$22880,,"-",,"-",,"E,M",,"-",,"X",,"-"
"Jackson","Independence Police",$45000,,$21000,,"-",,"X",,"S,M",,"-",,"X",,"-"
"Jackson","Kansas City Police",$74004,,$24048,,"-",,"-",,"E,M",,"-",,"-",,"X"
"Jefferson","Jefferson County Sheriff",$46000,,$18000,,"-",,"-",,"-",,"-",,"-",,"X"
"St. Louis(city)","St. Louis Police",$66285,,$24366,,"-",,"-",,"S,E",,"-",,"-",,"X"
"St. Louis","St. Louis County Police",$62521,,$25985,,"-",,"-",,"H,S,E,M",,"-",,"-",,"-"
,,,,,,,,,,,,,,,,
"MONTANA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Yellowstone","Billings Police",$41703,,$21504,,"X",,"X",,"S",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"NEBRASKA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Douglas","Omaha Police",$78350,,$31335,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Lancaster","Lincoln Police",$57000,,$22980,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"NEVADA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Clark","Las Vegas Metropolitan Police",$70000,,$31147,,"X",,"X",,"H,S,M",,"-",,"-",,"X"
"Clark","North Las Vegas Police",$54057,,$30946,,"X",,"X",,"H,S,M",,"X",,"-",,"-"
"Washoe ","Washoe County Sheriff",$70200,,$27476,,"X",,"X",,"H,S,E,M",,"-",,"-",,"X"
"Washoe","Reno Police",$77105,,$27999,,"X",,"X",,"H,S,E,M",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"NEW HAMPSHIRE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Hillsborough","Manchester Police",$46670,,$27997,,"X",,"X",,"-",,"-",,"X",,"-"
"Hillsborough","Nashua Police",$73331,,$24700,,"X",,"X",,"E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"NEW JERSEY",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Atlantic","Atlantic City Police",$75000,,$25000,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Bergen","Hackensack Police",$68000,,$20028,,"X",,"-",,"E",,"-",,"-",,"X"
"Camden","Camden County Sheriff",$82113,,$25176,,"X",,"X",,"H,S,E,M",,"-",,"X",,"-"
"Camden","Camden Police",$79500,,$29910,,"X",,"X",,"E",,"-",,"X",,"-"
"Camden","Cherry Hill Police",$65000,,$25000,,"X",,"X",,"E",,"-",,"X",,"-"
"Camden","Delaware River Port Authority",$63000,,$35500,,"X",,"X",,"-",,"-",,"X",,"-"
"Cumberland","Vineland Police",$55000,,$23500,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Essex","Bloomfield Police",$71050,,$26390,,"X",,"X",,"E",,"-",,"-",,"X"
"Essex","East Orange Police",$73346,,$31830,,"X",,"X",,"-",,"-",,"X",,"-"
"Essex","Irvington Police",$70704,,$29701,,"X",,"X",,"-",,"-",,"X",,"X"
"Essex","Newark Police",$65900,,$31000,,"X",,"-",,"S",,"-",,"X",,"X"
"Hudson","Hudson County Sheriff",$60000,,$15500,,"X",,"X",,"S",,"-",,"X",,"X"
"Hudson","Bayonne Police",$95000,,$24000,,"X",,"X",,"-",,"-",,"X",,"X"
"Hudson","Hoboken Police",$85000,,$23000,,"X",,"-",,"S,M",,"-",,"-",,"X"
"Hudson","Jersey City Police",$68000,,$26811,,"X",,"X",,"-",,"-",,"X",,"-"
"Hudson","Kearny Police",$72000,,$25000,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Hudson","North Bergen Police",$110000,,$30000,,"X",,"-",,"E",,"-",,"X",,"-"
"Hudson","Union City Police",$111250,,$24000,,"X",,"X",,"E",,"-",,"-",,"X"
"Hudson","West New York Police",$110000,,$27000,,"X",,"-",,"E",,"-",,"X",,"X"
"Mercer","Hamilton Township Police",$77623,,$28687,,"X",,"X",,"E",,"-",,"X",,"-"
"Mercer","Trenton Police",$78931,,$29932,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Middlesex","Edison Police","           ---",,$29585,,"X",,"X",,"H,S,E",,"-",,"X",,"X"
"Middlesex","New Brunswick Police",$86500,,$27000,,"X",,"X",,"-",,"-",,"-",,"-"
"Middlesex","Perth Amboy Police",$71350,,$27893,,"X",,"X",,"E",,"-",,"X",,"-"
"Middlesex","Woodbridge Police",$65000,,$36876,,"X",,"X",,"-",,"-",,"X",,"-"
"Morris","Parsippany-Troy Hills Police",$85000,,$28779,,"X",,"-",,"E",,"-",,"X",,"-"
"Ocean","Dover Township Police",$75000,,$24000,,"X",,"X",,"E",,"X",,"-",,"-"
"Passaic","Clifton Police",$95000,,$28000,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Passaic","Passaic Police",$76066,,$33856,,"X",,"X",,"E",,"-",,"X",,"-"
"Passaic","Paterson Police",$100366,,$19500,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Union","Elizabeth Police",$67553,,$35058,,"X",,"X",,"-",,"-",,"X",,"X"
"Union","Linden Police",$78000,,$22394,,"X",,"X",,"E",,"-",,"-",,"X"
"Union","Plainfield Police",$68000,,$26967,,"X",,"X",,"E",,"-",,"-",,"X"
"Union","Union Township Police",$71714,,$33373,,"X",,"X",,"S",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"NEW MEXICO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bernalillo","Bernalillo County Sheriff",$41975,,$20904,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Bernalillo","Albuquerque Police",$74880,,$18720,,"X",,"-",,"H,S,E",,"-",,"X",,"-"
"Dona Ana","Las Cruces Police",$43478,,$17855,,"X",,"X",,"H,M",,"-",,"-",,"-"
"Santa Fe ","Santa Fe Police",$46202,,$20149,,"X",,"X",,"H,S",,"X",,"-",,"X"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"            Expenditures and pay   91",,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"NEW YORK",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Albany","Albany Police",$68097,,$29184,,"X",,"-",,"-",,"-",,"X",,"-"
"Albany","Colonie Police",$63000,,$29373,,"X",,"X",,"S",,"-",,"X",,"-"
"Broome","Binghamton Police",$57000,,$22113,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Erie","Erie County Sheriff",$67600,,$25450,,"X",,"X",,"S",,"X",,"-",,"-"
"Erie","Amherst Police",$69131,,$25134,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Erie","Buffalo Police",$81971,,$28814,,"X",,"-",,"S,E",,"-",,"X",,"X"
"Erie","Cheektowaga Police",$58722,,$29800,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Erie","Tonawanda Police",$60668,,$27339,,"X",,"X",,"S",,"-",,"X",,"-"
"Monroe","Monroe County Sheriff",$87138,,$33072,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Monroe","Rochester Police",$83472,,$31326,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Nassau","Nassau County Police",$92000,,$30338,,"X",,"X",,"S",,"-",,"X",,"-"
"New York City","New York City Police",$109000,,$25977,,"X",,"X",,"S",,"-",,"X",,"-"
"New York City","New York City Sheriff",$103000,,$25997,,"X",,"X",,"S",,"-",,"-",,"-"
"New York City","New York City Fire Department",$83000,,$49000,,"X",,"X",,"S",,"-",,"X",,"-"
"New York City","New York City Housing Police",$100987,,$25977,,"-",,"X",,"S",,"-",,"X",,"-"
"New York City","New York City School Police","           ---",,"           ---",,"X",,"X",,"S,M",,"-",,"-",,"-"
"New York City","New York City Social Services","           ---",,$26743,,"X",,"X",,"S",,"X",,"-",,"X"
"New York City","New York City Transit Police",$108200,,$29475,,"X",,"X",,"S,M",,"X",,"X",,"X"
"New York City","Long Island Railroad Police",$101974,,$25977,,"X",,"-",,"S,E",,"-",,"X",,"-"
"New York City","Metro-North Railroad Police",$65000,,$27000,,"X",,"X",,"-",,"X",,"-",,"-"
"New York City","Port Authority of NY-NJ",$106366,,$24012,,"X",,"X",,"S,M",,"-",,"X",,"X"
"Niagara","Niagara Falls Police",$63000,,$31307,,"X",,"X",,"S,E",,"-",,"X",,"X"
"Onondaga","Onondaga County Sheriff",$64000,,$23371,,"X",,"X",,"S,E",,"X",,"-",,"-"
"Onondaga","Syracuse Police",$61622,,$20890,,"X",,"X",,"S",,"-",,"X",,"-"
"Rensselaer","Troy Police",$62521,,$24863,,"X",,"X",,"S",,"-",,"X",,"-"
"Rockland","Clarkstown Police",$96000,,$34717,,"X",,"X",,"S",,"-",,"X",,"X"
